"","class","gene_id","Function.classification","function.","note.location","gene_name","Description","fc","log2.fc.","pval","qval","regulation","GO","KEGG","KO_ENTRY","EC","significant"
"25","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000011209","autophagy","an E3 ubiquitin ligase that regulates proteasome-dependent protein degradation and mitochondrial autophagy","","SYT11","synaptotagmin 11 ",2.21,1.15,0,0,"up","GO:0000149(SNARE binding);GO:0001778(plasma membrane repair);GO:0001786(phosphatidylserine binding);GO:0001891(phagocytic cup);GO:0005737(cytoplasm);GO:0005764(lysosome);GO:0005886(plasma membrane);GO:0005887(integral component of plasma membrane);GO:0009611(response to wounding);GO:0014059(regulation of dopamine secretion);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016192(vesicle-mediated transport);GO:0017156(calcium ion regulated exocytosis);GO:0017158(regulation of calcium ion-dependent exocytosis);GO:0030276(clathrin binding);GO:0030424(axon);GO:0031369(translation initiation factor binding);GO:0031625(ubiquitin protein ligase binding);GO:0032009(early phagosome);GO:0042803(protein homodimerization activity);GO:0043005(neuron projection);GO:0045335(phagocytic vesicle);GO:0048487(beta-tubulin binding);GO:0048791(calcium ion-regulated exocytosis of neurotransmitter);GO:0050765(negative regulation of phagocytosis);GO:0051289(protein homotetramerization);GO:0055037(recycling endosome);GO:0070382(exocytic vesicle);GO:0071277(cellular response to calcium ion);GO:0098793(presynapse);GO:1900165(negative regulation of interleukin-6 secretion);GO:1900424(regulation of defense response to bacterium);GO:1904468(negative regulation of tumor necrosis factor secretion);GO:1905171(positive regulation of protein localization to phagocytic vesicle);GO:1990927(calcium ion regulated lysosome exocytosis);GO:1990927(calcium ion regulated lysosome exocytosis)",NA,"K19911",NA,"yes"
"26","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000006132","autophagy?","endosome to lysosome transport;","","DENND3","DENN domain containing 3 ",2.02,1.02,0,0,"up","GO:0005515(protein binding);GO:0008333(endosome to lysosome transport);GO:0017112(Rab guanyl-nucleotide exchange factor activity);GO:0044257(cellular protein catabolic process);GO:0044257(cellular protein catabolic process)",NA,"K20162",NA,"yes"
"27","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000017273","selective autophagy"," targeting DDX58/RIG-I for autophagic degradation","","LRRC25","leucine rich repeat containing 25 ",0,-8.77,0.03,0.07,"down","GO:0005515(protein binding);GO:0016020(membrane);GO:0016021(integral component of membrane)",NA,NA,NA,"yes"
"28","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000049473","stress responses "," stress responses ","","OPRL1","opioid related nociceptin receptor 1 ",227,7.83,0.02,0.05,"up","GO:0001626(nociceptin receptor activity);GO:0004930(G protein-coupled receptor activity);GO:0004985(opioid receptor activity);GO:0005887(integral component of plasma membrane);GO:0007186(G protein-coupled receptor signaling pathway);GO:0007193(adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway);GO:0016021(integral component of membrane);GO:0019233(sensory perception of pain);GO:0038003(opioid receptor signaling pathway);GO:0051482(positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway)","04080(Neuroactive ligand-receptor interaction)","K04216",NA,"yes"
"29","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000046902","stress","mRNA translation and stability","","PABPC4L","poly(A) binding protein cytoplasmic 4 like ",11.14,3.48,0,0,"up","GO:0003676(nucleic acid binding);GO:0003723(RNA binding)","03013(RNA transport);03015(mRNA surveillance pathway);03018(RNA degradation)","K13126",NA,"yes"
"31","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000030674","ATP generation","A Key Regulator of Proliferation and Metabolic Shift via Akt and HIF-1alpha Signaling Pathways. an enzyme that transfers phosphate group among ATP/GTP, AMP, and ADP, is a key modulator of ATP ","mitochondrial matrix","AK4","adenylate kinase 4 ",2.49,1.31,0,0,"up","GO:0000166(nucleotide binding);GO:0004017(adenylate kinase activity);GO:0004550(nucleoside diphosphate kinase activity);GO:0005524(ATP binding);GO:0005525(GTP binding);GO:0005739(mitochondrion);GO:0005759(mitochondrial matrix);GO:0006139(nucleobase-containing compound metabolic process);GO:0006165(nucleoside diphosphate phosphorylation);GO:0006172(ADP biosynthetic process);GO:0009142(nucleoside triphosphate biosynthetic process);GO:0016301(kinase activity);GO:0016310(phosphorylation);GO:0016740(transferase activity);GO:0016776(phosphotransferase activity, phosphate group as acceptor);GO:0019205(nucleobase-containing compound kinase activity);GO:0046033(AMP metabolic process);GO:0046034(ATP metabolic process);GO:0046039(GTP metabolic process);GO:0046899(nucleoside triphosphate adenylate kinase activity);GO:0046940(nucleoside monophosphate phosphorylation)","00230(Purine metabolism);00730(Thiamine metabolism)","K00939","EC:2.7.4.3","yes"
"32","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000012212","Mito metabolism/oxidative stress"," CYPs are usually membrane-bound and are localized to the inner mitochondrial or endoplasmic reticular membrane. CYPs have oxygenase activity","endoplasmic reticulum","CYP26B1","cytochrome P450, family 26, subfamily B, polypeptide 1 ",2.22,1.15,0,0,"up","GO:0001709(cell fate determination);GO:0001768(establishment of T cell polarity);GO:0001972(retinoic acid binding);GO:0004497(monooxygenase activity);GO:0005506(iron ion binding);GO:0005737(cytoplasm);GO:0005783(endoplasmic reticulum);GO:0005789(endoplasmic reticulum membrane);GO:0006805(xenobiotic metabolic process);GO:0006954(inflammatory response);GO:0007140(male meiotic nuclear division);GO:0007283(spermatogenesis);GO:0008401(retinoic acid 4-hydroxylase activity);GO:0009954(proximal/distal pattern formation);GO:0010628(positive regulation of gene expression);GO:0016020(membrane);GO:0016125(sterol metabolic process);GO:0016491(oxidoreductase activity);GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen);GO:0016709(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen);GO:0020037(heme binding);GO:0030326(embryonic limb morphogenesis);GO:0031090(organelle membrane);GO:0034653(retinoic acid catabolic process);GO:0043231(intracellular membrane-bounded organelle);GO:0043587(tongue morphogenesis);GO:0045580(regulation of T cell differentiation);GO:0046872(metal ion binding);GO:0048384(retinoic acid receptor signaling pathway);GO:0048385(regulation of retinoic acid receptor signaling pathway);GO:0048387(negative regulation of retinoic acid receptor signaling pathway);GO:0055114(oxidation-reduction process);GO:0060349(bone morphogenesis);GO:0061436(establishment of skin barrier);GO:0070268(cornification);GO:0071300(cellular response to retinoic acid);GO:2001037(positive regulation of tongue muscle cell differentiation)","00830(Retinol metabolism)","K12664",NA,"yes"
"33","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000008133","mito metabolism/oxidative stress","Dioxygenase that acts as on nucleic acids, such as DNA and tRNA¡£In mitochondrion, specifically interacts with mt-tRNA(Met) and mediates oxidation of mt-tRNA(Met) methylated at cytosine(34) to form 5-formylcytosine (f(5)c) at this position. ALKBH1 promotes lung cancer by regulating m6A RNA demethylation. ","","ALKBH1","alkB homolog 1, histone H2A dioxygenase ",0.5,-1,0,0,"down","GO:0000049(tRNA binding);GO:0001701(in utero embryonic development);GO:0001764(neuron migration);GO:0001890(placenta development);GO:0002101(tRNA wobble cytosine modification);GO:0005719(nuclear euchromatin);GO:0005739(mitochondrion);GO:0006281(DNA repair);GO:0006307(DNA dealkylation involved in DNA repair);GO:0006446(regulation of translational initiation);GO:0006448(regulation of translational elongation);GO:0008198(ferrous iron binding);GO:0010468(regulation of gene expression);GO:0016491(oxidoreductase activity);GO:0016706(2-oxoglutarate-dependent dioxygenase activity);GO:0030154(cell differentiation);GO:0031175(neuron projection development);GO:0035511(oxidative DNA demethylation);GO:0035516(oxidative DNA demethylase activity);GO:0042056(chemoattractant activity);GO:0042245(RNA repair);GO:0043524(negative regulation of neuron apoptotic process);GO:0048589(developmental growth);GO:0050918(positive chemotaxis);GO:0051213(dioxygenase activity);GO:0055114(oxidation-reduction process);GO:0070129(regulation of mitochondrial translation);GO:0070579(methylcytosine dioxygenase activity);GO:0070989(oxidative demethylation);GO:0080111(DNA demethylation);GO:0140078(class I DNA-(apurinic or apyrimidinic site) endonuclease activity);GO:1990983(tRNA demethylation);GO:1990984(tRNA demethylase activity)",NA,"K10765","1.14.11.-;4.2.99.18;EC:1.14.11.51","yes"
"34","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000001945","immune/oxidative stress","mitochondrial form, it catalyzes the hydrolysis of arginine to ornithine and urea."," mitochondria","ARG2","arginase 2 ",0.47,-1.07,0,0,"down","GO:0000050(urea cycle);GO:0001657(ureteric bud development);GO:0002829(negative regulation of type 2 immune response);GO:0004053(arginase activity);GO:0005737(cytoplasm);GO:0005739(mitochondrion);GO:0006525(arginine metabolic process);GO:0006941(striated muscle contraction);GO:0016787(hydrolase activity);GO:0016813(hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines);GO:0019547(arginine catabolic process to ornithine);GO:0030145(manganese ion binding);GO:0032720(negative regulation of tumor necrosis factor production);GO:0046872(metal ion binding);GO:0050706(regulation of interleukin-1 beta secretion);GO:0071641(negative regulation of macrophage inflammatory protein 1 alpha production);GO:0071644(negative regulation of chemokine (C-C motif) ligand 4 production);GO:0071650(negative regulation of chemokine (C-C motif) ligand 5 production);GO:1900425(negative regulation of defense response to bacterium);GO:1903426(regulation of reactive oxygen species biosynthetic process);GO:1904468(negative regulation of tumor necrosis factor secretion);GO:1905077(negative regulation of interleukin-17 secretion);GO:1905403(negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process);GO:2000562(negative regulation of CD4-positive, alpha-beta T cell proliferation);GO:2000666(negative regulation of interleukin-13 secretion);GO:2000774(positive regulation of cellular senescence);GO:2000774(positive regulation of cellular senescence)","00220(Arginine biosynthesis);00330(Arginine and proline metabolism);05146(Amoebiasis);05146(Amoebiasis)","K01476","EC:3.5.3.1","yes"
"35","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000012592","stress","DNA damage response and DNA repair","","ANKLE1","ankyrin repeat and LEM domain containing 1 ",0.46,-1.13,0,0,"down","GO:0004519(endonuclease activity);GO:0005515(protein binding);GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0006611(protein export from nucleus);GO:0090305(nucleic acid phosphodiester bond hydrolysis);GO:2001022(positive regulation of response to DNA damage stimulus)",NA,"K21411",NA,"yes"
"36","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000013162","stress","","","HSPA8","heat shock protein family A (Hsp70) member 8 ",0.44,-1.17,0,0,"down","GO:0000151(ubiquitin ligase complex);GO:0000166(nucleotide binding);GO:0000974(Prp19 complex);GO:0001664(G protein-coupled receptor binding);GO:0001786(phosphatidylserine binding);GO:0005515(protein binding);GO:0005524(ATP binding);GO:0005634(nucleus);GO:0005681(spliceosomal complex);GO:0005730(nucleolus);GO:0005737(cytoplasm);GO:0005764(lysosome);GO:0005770(late endosome);GO:0005776(autophagosome);GO:0005829(cytosol);GO:0005886(plasma membrane);GO:0006397(mRNA processing);GO:0006457(protein folding);GO:0006986(response to unfolded protein);GO:0008088(axo-dendritic transport);GO:0008380(RNA splicing);GO:0016020(membrane);GO:0016191(synaptic vesicle uncoating);GO:0016192(vesicle-mediated transport);GO:0016887(ATPase activity);GO:0019899(enzyme binding);GO:0030424(axon);GO:0030425(dendrite);GO:0030674(protein binding, bridging);GO:0031072(heat shock protein binding);GO:0031625(ubiquitin protein ligase binding);GO:0031647(regulation of protein stability);GO:0034605(cellular response to heat);GO:0034620(cellular response to unfolded protein);GO:0042026(protein refolding);GO:0042470(melanosome);GO:0042623(ATPase activity, coupled);GO:0043195(terminal bouton);GO:0044183(protein folding chaperone);GO:0044788(modulation by host of viral process);GO:0044829(positive regulation by host of viral genome replication);GO:0045892(negative regulation of transcription, DNA-templated);GO:0046034(ATP metabolic process);GO:0048026(positive regulation of mRNA splicing, via spliceosome);GO:0048471(perinuclear region of cytoplasm);GO:0051082(unfolded protein binding);GO:0051085(chaperone cofactor-dependent protein refolding);GO:0051087(chaperone binding);GO:0051726(regulation of cell cycle);GO:0051787(misfolded protein binding);GO:0055131(C3HC4-type RING finger domain binding);GO:0061077(chaperone-mediated protein folding);GO:0061738(late endosomal microautophagy);GO:0061740(protein targeting to lysosome involved in chaperone-mediated autophagy);GO:0061741(chaperone-mediated protein transport involved in chaperone-mediated autophagy);GO:0070062(extracellular exosome);GO:0072318(clathrin coat disassembly);GO:0098684(photoreceptor ribbon synapse);GO:0098690(glycinergic synapse);GO:0098793(presynapse);GO:0098978(glutamatergic synapse);GO:0099175(regulation of postsynapse organization);GO:0099523(presynaptic cytosol);GO:0099524(postsynaptic cytosol);GO:0099634(postsynaptic specialization membrane);GO:0101031(chaperone complex);GO:1902904(negative regulation of supramolecular fiber organization);GO:1904764(chaperone-mediated autophagy translocation complex disassembly);GO:1990832(slow axonal transport);GO:1990833(clathrin-uncoating ATPase activity);GO:1990904(ribonucleoprotein complex);GO:1990904(ribonucleoprotein complex)","03040(Spliceosome);04010(MAPK signaling pathway);04141(Protein processing in endoplasmic reticulum);04144(Endocytosis);04213(Longevity regulating pathway - multiple species);04612(Antigen processing and presentation);04915(Estrogen signaling pathway);05134(Legionellosis);05145(Toxoplasmosis);05162(Measles);05164(Influenza A);05164(Influenza A)","K03283",NA,"yes"
"37","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000014151","stress/ cell growth","Stress-induced phosphorylation of CAPZIP may regulate the ability of F-actin-capping protein to remodel actin filament assembly","","RCSD1","RCSD domain containing 1 ",0.42,-1.24,0.01,0.02,"down","GO:0051015(actin filament binding);GO:0071474(cellular hyperosmotic response)",NA,"K18615",NA,"yes"
"38","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000052665","Mito metabolism/oxidative stress","","","CYP3A4","cytochrome P450, subfamily IIIA, polypeptide 4 ",0.39,-1.38,0,0,"down","GO:0004497(monooxygenase activity);GO:0005506(iron ion binding);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016491(oxidoreductase activity);GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen);GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen);GO:0020037(heme binding);GO:0046872(metal ion binding);GO:0055114(oxidation-reduction process)","00140(Steroid hormone biosynthesis);00591(Linoleic acid metabolism);00830(Retinol metabolism);04976(Bile secretion);05204(Chemical carcinogenesis)","K07424","EC:1.14.14.1","yes"
